,data,trigger_ind,trigger_time,word,word_duration,word_ind,word_time
585,match,418.0,157.439,autre,0.2800000000000011,288.0,114.46
586,trigger,419.0,157.72,,,,
587,word,,,métier,0.4400000000000119,,114.74
588,match,420.0,158.508,et,0.0400000000000062,290.0,115.58
589,trigger,421.0,158.548,,,,
590,match,422.0,158.596,j,0.1199999999999903,291.0,115.62
591,match,423.0,158.717,ai,0.0900000000000034,292.0,115.74
592,trigger,424.0,158.806,,,,
593,word,,,appris,0.3599999999999994,,115.83
594,match,425.0,159.174,à,0.0799999999999983,294.0,116.19
595,match,426.0,159.301,piloter,0.4400000000000119,295.0,116.32
596,match,427.0,159.745,des,0.2099999999999937,296.0,116.76
597,trigger,428.0,159.955,,,,
598,trigger,429.0,161.243,,,,
599,trigger,430.0,161.298,,,,
600,trigger,431.0,161.381,,,,
601,trigger,432.0,161.536,,,,
602,trigger,433.0,161.793,,,,
603,word,,,avions,0.3400000000000034,,116.97
604,word,,,j,0.0900000000000034,,118.31
605,word,,,ai,0.1499999999999914,,118.4
606,word,,,volé,0.3100000000000023,,118.55
607,match,434.0,161.848,un,0.1400000000000005,301.0,118.86
608,match,435.0,161.986,peu,0.1299999999999954,302.0,119.0
609,match,436.0,162.116,partout,0.3599999999999994,303.0,119.13
610,match,437.0,162.48,dans,0.1600000000000108,304.0,119.49
611,match,438.0,162.639,le,0.0999999999999943,305.0,119.65
612,trigger,439.0,162.735,,,,
613,word,,,monde,0.4200000000000017,,119.75
614,match,440.0,163.607,et,0.0300000000000011,307.0,120.67
615,trigger,441.0,163.638,,,,
616,match,442.0,163.692,la,0.1499999999999914,308.0,120.7
617,trigger,443.0,163.839,,,,
